Frequency (rad/s),Real Part,Imaginary Part
0.1,0.9565217455675186,-5.822306338122005e-05
0.46358911115786144,0.9565218774729392,-0.0002699158769541138
2.14914863984136,0.9565247123177744,-0.0012513100735980119
9.990792059104393,0.9565859921105212,-0.005817941810068354
46.31622410443226,0.9579029034388304,-0.027066249272911413
215.3111959833631,0.9864353077288701,-0.13585303900812928
998.159259682634,-0.1022789898995053,-1.5676534720703714
4640.163746931383,-0.04379905332646555,-0.0057626429296865345
21511.293870668538,-0.001983618565436912,-5.390248515648022e-05
100000.0,-9.167233222711732e-05,-5.348065236166792e-07
